,summoner_name,league_points,puuid
77,Gurt Games,262,ltXPWI93UlzXneFDNdjy1aOy9MaPecMq_hFhYWzBsKP7bjGmrsdGl38Gl7vQStuflQCGvjkpuNB1CQ
78,Sinner Winclair,261,0Z56NxL_AwVKIQMYsRQ24l1eEAQ2hKknKUYots0IkC6RJy2HxIwON_R58EkoB4Mf-9ny1G9Hlt19iA
79,Hyunjinese,261,YG4bRdloxalQAlDOqpO-HMAksxgZStzKBE6xkqrWYDFMNqKfU8CbJeuvy-yGxN45exS-oDrsuNpXKQ
80,Aesah,260,2eVAtsJP2DMy6dKcIDjSJ9dyWqlrdqUx4dZfJKE160mMBcknaclhq6KpnGU429RUXglpSgtOoWSTzw
81,jªrred,259,tOnkckqEovyEckJPIaiuQcjjKt_FtQIhPWFwC3B6xoJ9RgJ0LPKJYmSx4qDYCEB1K3yE8OS6-aruVA
82,eue,247,LHCTfx1wrZzi2Quyb3N39boRl8qAv0_dpp0rSnktVjseQu9nry9KvN1KXHjzV921Bvx5ULEyw6u_Bg
83,kangzhuzhu,246,UTvX5xUdkjlGuHsotV2bw81HIE8IpS479gwIz2tCzXuwxC4YZGGVVTT06S8BFPqrUp1F4wODbTXgGQ
84,TFT Cayrub,245,CLtOOprWc0huOhx2UfUPQ5LNIkc3-GHscdbRlj8UdoFPKlYFJq_ODCqMrjJ5P8b-FwrUVnOEDh7-6Q
85,kinda,245,TCmAvc3wzMe_8UH0-v9z2UqCo_8dtsFJyFazrJwXLTQvPcbRcXJdeuiD7zJmdsUIflghsSDx0n-CoQ
86,vx daodao46,245,7XJeOEWjsVAS6wLRTa5NVxLi4vLZb1JoiWR-UG-Ze4NOfShgRFVhMoQy0nxWM1uQJnEWbVkN4KNOLA
87,The Cxk,239,DrOERvF0dStQpYHrdLF9lwjpW2letuGCjOMMyzYLCIBTmb14ZWEzqJ2tnK3SUXAn33wizmBw3M1YPw
88,dpei,233,24KeX61LWLYuCSJNqTe5gYh6OgZ02oY4oAe4gme_IT7shvxCGThTiUPunI4_QdSbQW2u7C_m3aCnVw
89,FIying Pikachu,231,jPkJc1e75JKSTlSWREhHe-FtAn34qRrwHrELeGR2WHKlOB_Q9fp_EIG92iyaNOuHmR_GNaMCnvd3Rw
90,JayGeBee,230,zbr4c6SUI4Y0Fj-nD-FKRvk-IiqfCaoU9BL8VHy6WaSvQRz2dbaqK4oc5VFNXM0_hxM09Cxd-gg8pw
91,best Taro NA,230,fNmfqNxUsbjKeCD27nlKZ81vgWaZKTX-cYKA6YI6gk3BwrxpE4qrjwoG6HQ90_kzoV_WQV4doJ02yQ
92,Sojin,228,8FzyJdpY0VcN6g4pNBHBqf52iTmMOx1w-kEaZOV-2HZSPBs3D9AKJ9W8kEcErnJshj-1tBz3lDRX0Q
93,dildoids,225,ce2jqjWc6o6Ek4KWRp63S9uGC2leRPSCVk-N2MxH9oaAG3BMfe1_ishxFSvdJ9AbBLoyMSqA1nUbpA
94,Doctor Nine,224,lk1BMxKMTYOWcN54BYlQk4a-ORNxkWNOaYbiQNx7LCdlmGlrNzQ_Up9HjV9IwEesRLGFi_5qKLnQtQ
95,Vikaros,223,KFxLM_Pf2NhXZRkbHFCaSaNpwAXRKepYdROSYKo2Oze8DWfJBzfBwdUaOzEgjHrXmfy-h0_UoBEkfg
96,Yesterday Kurrt,223,ymG_vPROWYJgBZWlGFbBcY7Xc7Tyc5icOuEDKVlgKWfwIrHdMbw59emWYRwx_NnWNpG2OAWuvvNvGQ
